annotation	bilirubin	time
37w_risk	17.9	97
37w_risk	18	121
37w_risk	18.1	145
37w_risk	6.1	2
37w_risk	10.4	26
37w_risk	13.8	50
37w_risk	16.3	74
37w_risk	17.9	98
37w_risk	18	122
37w_risk	18.1	146
37w_risk	6.3	3
37w_risk	10.5	27
37w_risk	13.9	51
37w_risk	16.4	75
37w_risk	17.9	99
37w_risk	18	123
37w_risk	18.1	147
37w_risk	6.5	4
37w_risk	10.7	28
37w_risk	14	52
37w_risk	16.5	76
37w_risk	17.9	100
37w_risk	18	124
37w_risk	18.1	148
37w_risk	6.7	5
37w_risk	10.8	29
37w_risk	14.1	53
37w_risk	16.6	77
37w_risk	17.9	101
37w_risk	18	125
37w_risk	18.1	149
37w_risk	6.9	6
37w_risk	11	30
37w_risk	14.2	54
37w_risk	16.6	78
37w_risk	17.9	102
37w_risk	18	126
37w_risk	18.1	150
37w_risk	7	7
37w_risk	11.1	31
37w_risk	14.4	55
37w_risk	16.7	79
37w_risk	17.9	103
37w_risk	18	127
37w_risk	NA	151
37w_risk	7.2	8
37w_risk	11.3	32
37w_risk	14.5	56
37w_risk	16.8	80
37w_risk	17.9	104
37w_risk	18	128
37w_risk	18.2	152
37w_risk	7.4	9
37w_risk	11.4	33
37w_risk	14.6	57
37w_risk	16.9	81
37w_risk	17.9	105
37w_risk	18	129
37w_risk	18.2	153
37w_risk	7.6	10
37w_risk	11.6	34
37w_risk	14.7	58
37w_risk	17	82
37w_risk	17.9	106
37w_risk	18	130
37w_risk	18.2	154
37w_risk	7.8	11
37w_risk	11.7	35
37w_risk	14.8	59
37w_risk	17	83
37w_risk	17.9	107
37w_risk	18.1	131
37w_risk	18.2	155
37w_risk	8	12
37w_risk	11.9	36
37w_risk	14.9	60
37w_risk	17.1	84
37w_risk	17.9	108
37w_risk	18.1	132
37w_risk	18.2	156
37w_risk	8.1	13
37w_risk	12	37
37w_risk	15	61
37w_risk	17.2	85
37w_risk	17.9	109
37w_risk	18.1	133
37w_risk	18.2	157
37w_risk	8.3	14
37w_risk	12.2	38
37w_risk	15.1	62
37w_risk	17.2	86
37w_risk	17.9	110
37w_risk	18.1	134
37w_risk	18.2	158
37w_risk	8.5	15
37w_risk	12.3	39
37w_risk	15.2	63
37w_risk	17.3	87
37w_risk	17.9	111
37w_risk	18.1	135
37w_risk	18.2	159
37w_risk	8.7	16
37w_risk	12.4	40
37w_risk	15.3	64
37w_risk	17.4	88
37w_risk	18	112
37w_risk	18.1	136
37w_risk	18.2	160
37w_risk	8.9	17
37w_risk	12.6	41
37w_risk	15.4	65
37w_risk	17.4	89
37w_risk	18	113
37w_risk	18.1	137
37w_risk	18.2	161
37w_risk	9	18
37w_risk	12.7	42
37w_risk	15.5	66
37w_risk	17.5	90
37w_risk	18	114
37w_risk	18.1	138
37w_risk	18.2	162
37w_risk	9.2	19
37w_risk	12.9	43
37w_risk	15.6	67
37w_risk	17.6	91
37w_risk	18	115
37w_risk	18.1	139
37w_risk	18.2	163
37w_risk	9.4	20
37w_risk	13	44
37w_risk	15.7	68
37w_risk	17.6	92
37w_risk	18	116
37w_risk	18.1	140
37w_risk	18.2	164
37w_risk	9.5	21
37w_risk	13.1	45
37w_risk	15.8	69
37w_risk	17.7	93
37w_risk	18	117
37w_risk	18.1	141
37w_risk	18.2	165
